                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7479,                 1.6552,                 1.3589,                0.41277,                0.20297,                0.16722,                0.07045,                 2.1961,                 2.4891,                 1.7389,             0.00074229,             0.00074229,             0.00074229
                     35,                 1.7377,                 1.6772,                 1.3672,                0.42579,                0.19595,                 0.1585,                0.07486,                 2.2378,                 2.2533,                 1.7783,             0.00073954,             0.00073954,             0.00073954
                     36,                 1.7126,                 1.6218,                  1.324,                0.50338,                0.12716,                0.14811,                0.06937,                 2.2434,                 2.2513,                 1.8093,             0.00073679,             0.00073679,             0.00073679
                     37,                 1.7662,                  1.707,                  1.398,                0.42282,                0.14916,                0.13722,                0.06582,                 2.2678,                  2.342,                  1.761,             0.00073404,             0.00073404,             0.00073404
                     38,                 1.7614,                 1.7069,                 1.3832,                0.43773,                0.20548,                 0.1661,                0.07072,                 2.2333,                 2.2292,                 1.7609,             0.00073129,             0.00073129,             0.00073129
                     39,                 1.7724,                 1.6655,                 1.3921,                0.43273,                0.15786,                 0.1557,                0.07252,                 2.2251,                 2.2718,                 1.7862,             0.00072854,             0.00072854,             0.00072854
                     40,                 1.7461,                 1.6477,                 1.3652,                0.30682,                0.18442,                0.18696,                0.07916,                 2.3145,                 2.8083,                 1.9022,             0.00072579,             0.00072579,             0.00072579
                     41,                 1.7438,                 1.6119,                 1.3548,                0.24749,                0.24761,                0.21513,                0.08145,                 2.2587,                 2.1328,                 1.7918,             0.00072304,             0.00072304,             0.00072304
                     42,                 1.6832,                 1.5239,                 1.3128,                0.39462,                0.22657,                0.20261,                0.09902,                 2.2636,                 2.2737,                 1.8148,              0.0007203,              0.0007203,              0.0007203
                     43,                  1.731,                 1.6251,                 1.3467,                0.19131,                0.25974,                0.20383,                0.09219,                 2.2151,                 2.3523,                 1.7439,             0.00071755,             0.00071755,             0.00071755
                     44,                  1.731,                 1.6539,                 1.3575,                0.33771,                0.21777,                0.16493,                0.08007,                 2.3687,                 2.3078,                 1.8566,              0.0007148,              0.0007148,              0.0007148
                     45,                 1.6793,                 1.5671,                 1.3245,                0.32142,                0.19236,                0.17109,                0.07822,                 2.2164,                 2.2527,                 1.7469,             0.00071205,             0.00071205,             0.00071205
                     46,                 1.7181,                 1.5536,                 1.3415,                0.35986,                0.15441,                 0.1666,                0.07771,                 2.2387,                  2.213,                 1.7584,              0.0007093,              0.0007093,              0.0007093
                     47,                 1.6745,                  1.549,                 1.3346,                0.46584,                0.11206,                0.10942,                0.04929,                 2.3771,                 2.6849,                 1.8114,             0.00070655,             0.00070655,             0.00070655
