                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2269,                  4.655,                 1.6832,                 0.9682,                 0.0111,                0.03588,                0.01824,                 2.2933,                 3.6052,                 1.7853,             0.00027288,             0.00027288,             0.00027288
                      2,                 2.0852,                 3.5868,                 1.6142,                0.77887,                0.01369,                  0.042,                 0.0235,                 2.3695,                 3.3522,                 1.7434,             0.00054782,             0.00054782,             0.00054782
                      3,                 2.1501,                  3.295,                 1.6391,                 0.6063,                0.07171,                0.06936,                0.03292,                 2.3827,                 2.8916,                  1.751,             0.00082001,             0.00082001,             0.00082001
                      4,                 2.1292,                 3.1686,                 1.6311,                 0.8113,                0.05941,                0.07452,                0.03601,                 2.3378,                 2.8939,                 1.7241,             0.00082063,             0.00082063,             0.00082063
                      5,                 2.1568,                 2.9335,                 1.5942,                0.52324,                0.11346,                0.08912,                0.04395,                 2.3337,                 2.6661,                 1.8222,             0.00081651,             0.00081651,             0.00081651
                      6,                 2.1047,                 2.7684,                 1.5743,                0.50772,                0.13783,                0.09862,                0.04108,                 2.3605,                 2.9809,                 1.8443,             0.00081238,             0.00081238,             0.00081238
                      7,                 2.1217,                 2.7554,                 1.6284,                0.52563,                0.10072,                0.09405,                0.04661,                 2.2893,                 2.5596,                 1.7886,             0.00080826,             0.00080826,             0.00080826
                      8,                 2.1187,                 2.5814,                 1.6172,                0.56623,                0.09476,                0.10067,                0.04627,                 2.2605,                 2.8634,                 1.7013,             0.00080414,             0.00080414,             0.00080414
                      9,                  2.076,                 2.4633,                  1.559,                0.51838,                0.13861,                0.13367,                0.06177,                 2.3241,                 2.3018,                 1.7318,             0.00080001,             0.00080001,             0.00080001
                     10,                 1.9946,                 2.4705,                 1.5139,                0.42029,                0.11876,                0.11577,                0.05132,                 2.2968,                 2.6167,                 1.7829,             0.00079589,             0.00079589,             0.00079589
                     11,                 2.0313,                 2.3006,                 1.5067,                0.55327,                0.12041,                0.11293,                0.05497,                 2.2365,                 2.4611,                 1.6912,             0.00079177,             0.00079177,             0.00079177
                     12,                 1.9869,                 2.3432,                 1.5737,                 0.3922,                0.14286,                0.10259,                0.04532,                 2.2243,                 2.6178,                 1.6427,             0.00078764,             0.00078764,             0.00078764
                     13,                 2.0673,                 2.2975,                 1.5426,                0.39246,                0.12484,                0.10653,                0.04709,                 2.3344,                  2.548,                 1.7245,             0.00078352,             0.00078352,             0.00078352
                     14,                 1.9321,                 2.1703,                 1.4907,                0.44728,                0.12444,                0.12217,                0.05828,                  2.241,                 2.2972,                 1.6783,              0.0007794,              0.0007794,              0.0007794
                     15,                  1.981,                 2.3103,                 1.5629,                0.52857,                0.13108,                0.10143,                0.05049,                 2.2499,                 2.9587,                 1.8151,             0.00077527,             0.00077527,             0.00077527
                     16,                 1.9652,                 2.1229,                 1.5068,                0.53448,                0.12572,                0.15905,                0.07756,                 2.2027,                 2.5062,                  1.677,             0.00077115,             0.00077115,             0.00077115
