                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2269,                  4.655,                 1.6832,                 0.9682,                 0.0111,                0.03588,                0.01824,                 2.2933,                 3.6052,                 1.7853,             0.00027288,             0.00027288,             0.00027288
                      2,                 2.0847,                 3.6021,                 1.6098,                0.89117,                0.00994,                0.03719,                0.01872,                 2.3468,                 3.3691,                 1.8127,              0.0005451,              0.0005451,              0.0005451
                      3,                 2.1613,                  3.286,                 1.6078,                0.45172,                0.07835,                0.05697,                0.02731,                 2.4257,                 2.8574,                 1.7225,             0.00081181,             0.00081181,             0.00081181
                      4,                 2.1307,                 3.1844,                 1.6673,                0.46726,                0.09514,                0.08968,                0.03989,                 2.3349,                  2.704,                 1.8721,             0.00080826,             0.00080826,             0.00080826
                      5,                 2.1398,                 2.9706,                 1.6062,                 0.4985,                0.07193,                0.04439,                0.02087,                  2.371,                 3.5123,                 1.9321,             0.00080001,             0.00080001,             0.00080001
                      6,                 2.1006,                 2.7465,                 1.5759,                0.60046,                0.11428,                0.07945,                0.03298,                 2.4663,                 3.0822,                  1.846,             0.00079177,             0.00079177,             0.00079177
                      7,                 2.1035,                 2.7677,                 1.6034,                0.40817,                0.12465,                0.10441,                  0.046,                 2.2706,                 2.5213,                   1.76,             0.00078352,             0.00078352,             0.00078352
                      8,                 2.0959,                 2.5832,                 1.5788,                0.68028,                0.12112,                0.11344,                0.04927,                 2.1982,                 2.5672,                 1.7444,             0.00077527,             0.00077527,             0.00077527
                      9,                 2.1224,                 2.5048,                 1.5645,                0.47125,                0.14126,                0.12947,                0.05626,                 2.3212,                 2.5533,                 1.7075,             0.00076703,             0.00076703,             0.00076703
                     10,                 1.9865,                 2.4506,                 1.5043,                0.35154,                0.12636,                0.11852,                0.05537,                 2.2462,                 2.5155,                 1.7308,             0.00075878,             0.00075878,             0.00075878
                     11,                 1.9954,                 2.2956,                  1.504,                0.42148,                0.13425,                0.11921,                0.05358,                 2.2656,                 2.3923,                 1.7542,             0.00075053,             0.00075053,             0.00075053
                     12,                 2.0312,                 2.3476,                 1.6414,                0.54262,                0.12639,                0.13709,                0.06478,                 2.2688,                 2.4887,                 1.7206,             0.00074229,             0.00074229,             0.00074229
                     13,                 2.0518,                 2.2652,                 1.5364,                0.50743,                0.15146,                 0.1328,                0.06034,                 2.2565,                  2.363,                 1.7125,             0.00073404,             0.00073404,             0.00073404
                     14,                 1.9639,                 2.1511,                 1.5352,                0.48837,                0.14615,                0.14101,                0.06169,                 2.2309,                  2.433,                 1.7374,             0.00072579,             0.00072579,             0.00072579
                     15,                 1.9832,                 2.2719,                 1.5356,                0.30872,                0.13739,                0.12566,                0.05659,                 2.2264,                 2.3054,                 1.7025,             0.00071755,             0.00071755,             0.00071755
                     16,                 1.9461,                 2.0974,                   1.48,                0.56546,                0.12577,                0.12709,                0.06056,                 2.1892,                 2.2183,                 1.6802,              0.0007093,              0.0007093,              0.0007093
                     17,                 1.9169,                 2.0934,                 1.4754,                0.69912,                0.14975,                0.15218,                 0.0703,                 2.1648,                 2.3446,                  1.656,             0.00070105,             0.00070105,             0.00070105
                     18,                 1.9518,                 2.1051,                 1.5153,                0.44246,                0.13507,                0.11742,                0.05554,                 2.1853,                 2.2985,                 1.6663,             0.00069281,             0.00069281,             0.00069281
                     19,                  1.932,                 2.0389,                 1.4772,                0.40224,                 0.1214,                 0.1366,                0.06444,                 2.1452,                 2.2392,                 1.6113,             0.00068456,             0.00068456,             0.00068456
                     20,                 1.8912,                  1.937,                 1.4365,                0.34929,                0.16601,                0.15162,                0.07024,                 2.1808,                  2.167,                 1.6195,             0.00067631,             0.00067631,             0.00067631
                     21,                 1.9756,                 2.0252,                  1.506,                0.58497,                0.14619,                0.14258,                0.06791,                 2.1705,                 2.2704,                  1.703,             0.00066807,             0.00066807,             0.00066807
                     22,                 1.9151,                 2.0211,                 1.4806,                0.67005,                0.15813,                0.22555,                0.10186,                 2.1762,                 2.2241,                 1.6854,             0.00065982,             0.00065982,             0.00065982
                     23,                 1.8261,                 1.8504,                 1.4326,                0.59242,                0.16497,                0.16181,                0.07474,                  2.196,                 2.2643,                 1.7048,             0.00065157,             0.00065157,             0.00065157
                     24,                 1.8327,                 1.8381,                 1.4094,                0.41299,                0.18267,                0.16589,                0.07642,                 2.2239,                  2.182,                 1.7128,             0.00064333,             0.00064333,             0.00064333
                     25,                 1.9153,                 2.0078,                 1.4831,                0.55851,                0.19029,                0.21172,                0.09701,                 2.1454,                 2.1628,                 1.7052,             0.00063508,             0.00063508,             0.00063508
                     26,                 1.8639,                 1.8605,                 1.4382,                0.58212,                0.17974,                0.20744,                0.09597,                 2.2023,                 2.1325,                 1.6827,             0.00062683,             0.00062683,             0.00062683
                     27,                  1.795,                 1.8279,                 1.4263,                0.64421,                0.15816,                0.17802,                0.08408,                 2.1277,                 2.1187,                 1.6248,             0.00061859,             0.00061859,             0.00061859
